,station_number,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,fog,rain,snow,hail,thunder,tornado,date,snow_tomorrow
9645,725300,49.79999923706055,38.599998474121094,1016.7000122070312,9.899999618530273,2.4000000953674316,8.0,39.900001525878906,0.0,0,0,0,0,0,0,2007-10-13,0
9646,725314,56.5,45.599998474121094,1016.5999755859375,10.0,3.299999952316284,8.0,48.20000076293945,0.0,0,0,0,0,0,0,2007-10-13,0
9647,725327,47.70000076293945,39.900001525878906,1017.5,9.5,2.0,6.0,37.400001525878906,0.0,0,0,0,0,0,0,2007-10-13,0
9648,725316,52.5,40.79999923706055,1017.2000122070312,10.0,3.200000047683716,11.100000381469727,39.20000076293945,0.0,0,0,0,0,0,0,2007-10-13,0
9649,725305,49.5,40.900001525878906,1016.7000122070312,9.899999618530273,2.0,7.0,37.0,0.0,0,0,0,0,0,0,2007-10-13,0
9650,725305,57.099998474121094,49.0,1018.0999755859375,8.300000190734863,3.200000047683716,8.0,53.599998474121094,0.11999999731779099,0,0,0,0,0,0,2007-10-14,0
9651,725327,56.79999923706055,47.0,1019.2999877929688,10.0,3.4000000953674316,6.0,51.79999923706055,0.0,0,0,0,0,0,0,2007-10-14,0
9652,725300,56.400001525878906,47.29999923706055,1018.2000122070312,9.5,5.199999809265137,13.0,39.900001525878906,0.029999999329447746,0,0,0,0,0,0,2007-10-14,0
9653,725330,56.20000076293945,45.099998474121094,1020.4000244140625,9.800000190734863,2.799999952316284,7.0,51.099998474121094,0.0,0,0,0,0,0,0,2007-10-14,0
9654,725316,65.0999984741211,45.599998474121094,1017.2000122070312,10.0,7.300000190734863,11.100000381469727,53.099998474121094,0.0,0,0,0,0,0,0,2007-10-14,0
9655,725320,62.599998474121094,46.400001525878906,1016.4000244140625,10.0,5.400000095367432,8.899999618530273,43.0,0.0,0,0,0,0,0,0,2007-10-14,0
9656,725315,62.099998474121094,46.29999923706055,1017.7999877929688,10.0,6.5,9.899999618530273,53.099998474121094,0.0,0,0,0,0,0,0,2007-10-14,0
9657,725317,62.70000076293945,46.099998474121094,1017.4000244140625,10.0,6.599999904632568,8.899999618530273,53.599998474121094,0.0,0,0,0,0,0,0,2007-10-14,0
9658,725314,65.0999984741211,48.099998474121094,1016.0,10.0,5.300000190734863,8.899999618530273,50.0,0.0,0,0,0,0,0,0,2007-10-14,0
9659,725330,60.099998474121094,46.599998474121094,1018.4000244140625,9.800000190734863,5.699999809265137,9.899999618530273,46.400001525878906,0.0,0,0,0,0,0,0,2007-10-15,0
9660,725320,63.79999923706055,50.20000076293945,1013.0,9.800000190734863,4.599999904632568,13.0,53.099998474121094,0.029999999329447746,0,0,0,0,0,0,2007-10-15,0
9661,725327,59.5,48.29999923706055,1016.7000122070312,9.600000381469727,6.199999809265137,12.0,48.0,0.0,0,0,0,0,0,0,2007-10-15,0
9662,725305,61.5,50.5,1014.9000244140625,9.399999618530273,4.699999809265137,8.899999618530273,50.0,0.0,0,0,0,0,0,0,2007-10-15,0
9663,725300,61.099998474121094,50.20000076293945,1015.4000244140625,10.0,5.699999809265137,8.0,51.099998474121094,0.11999999731779099,0,0,0,0,0,0,2007-10-15,0
9664,725317,65.30000305175781,50.20000076293945,1014.4000244140625,10.0,8.0,14.0,53.599998474121094,0.0,0,0,0,0,0,0,2007-10-15,0
9665,725300,62.900001525878906,56.70000076293945,1011.5,7.0,6.099999904632568,14.0,51.099998474121094,0.3100000023841858,0,0,0,0,0,0,2007-10-16,0
9666,725316,65.5999984741211,57.20000076293945,1012.5,6.800000190734863,7.599999904632568,14.0,60.099998474121094,1.25,1,1,1,1,1,1,2007-10-16,0
9667,725320,62.900001525878906,53.599998474121094,1011.4000244140625,6.599999904632568,9.300000190734863,15.0,53.099998474121094,0.019999999552965164,0,0,0,0,0,0,2007-10-16,0
9668,725316,61.29999923706055,55.20000076293945,1012.7000122070312,7.699999809265137,7.199999809265137,16.899999618530273,50.0,0.009999999776482582,0,0,0,0,0,0,2007-10-17,0
9669,725300,59.099998474121094,49.5,1012.7999877929688,9.800000190734863,5.5,15.0,46.900001525878906,0.0,0,0,0,0,0,0,2007-10-17,0
9670,725327,60.70000076293945,52.400001525878906,1013.5999755859375,7.0,4.5,9.899999618530273,46.900001525878906,0.0,1,1,1,1,1,1,2007-10-17,0
9671,725305,57.900001525878906,49.5,1012.4000244140625,8.5,4.800000190734863,13.0,46.0,0.0,1,1,1,1,1,1,2007-10-17,0
9672,725317,60.599998474121094,56.29999923706055,1012.4000244140625,7.099999904632568,6.699999809265137,11.100000381469727,50.0,0.0,1,1,1,1,1,1,2007-10-17,0
9673,725315,57.400001525878906,53.400001525878906,1013.0999755859375,6.300000190734863,8.399999618530273,18.100000381469727,44.599998474121094,0.009999999776482582,1,1,1,1,1,1,2007-10-17,0
9674,725320,57.400001525878906,51.400001525878906,1011.7000122070312,8.300000190734863,3.5,12.0,48.20000076293945,0.14000000059604645,0,0,0,0,0,0,2007-10-17,0
9675,725330,62.0,55.20000076293945,1015.2000122070312,6.5,5.0,8.899999618530273,50.0,0.0,1,1,1,1,1,1,2007-10-17,0
9676,725314,59.20000076293945,55.20000076293945,1011.7999877929688,7.400000095367432,5.800000190734863,13.0,46.900001525878906,0.30000001192092896,1,1,1,1,1,1,2007-10-17,0
9677,725305,69.4000015258789,59.099998474121094,995.7000122070312,8.100000381469727,15.5,28.899999618530273,64.4000015258789,0.4300000071525574,0,0,0,0,0,0,2007-10-18,0
9678,725327,69.4000015258789,61.0,999.0999755859375,8.300000190734863,12.600000381469727,18.100000381469727,64.4000015258789,0.5099999904632568,0,0,0,0,0,0,2007-10-18,0
